,Word,Length,Frequency,Info_given_previous_all_bigrams,Info_given_previous_cleaned_bigrams,Info_given_next_all_bigrams,Info_given_next_cleaned_bigrams
4842,vaihe,5,2241,8.548765035672,8.55902421211572,11.3685542149644,11.4149014742732
4843,vastanneista,12,2240,4.81813682640715,5.1436458584498,10.2050883176796,10.6417264128512
4844,myöhässä,8,2240,10.2218471715745,10.290337048157,12.5620062724905,12.5514375010989
4845,pöydän,6,2240,8.73191137635581,8.96776413210347,7.04039503606201,7.00524969372638
4846,levy,4,2240,10.0618855528308,10.5467551479714,11.6971465974228,11.9512446891468
4847,remontti,8,2239,9.72399760636631,10.3575621245273,11.9096843004101,11.7962026190073
4848,edullinen,9,2239,12.1538154000255,12.3081871054701,9.37658179012796,10.5148591249638
4849,yhteistyöstä,12,2239,8.19188230653717,8.50382474897318,12.0305242094004,12.7432911808851
4850,tasainen,8,2238,11.8398809186196,11.8930500452768,11.0472846768938,11.3780114248213
4851,kuuntelemaan,12,2238,10.0370104903384,10.2321043796166,10.9236050628225,11.6022223550083
4852,tavallisen,10,2236,12.1408003968133,12.3483771306304,6.37678879326351,7.10319935236195
4853,työelämään,10,2236,10.1915960784466,10.3358342843874,11.5869133751245,12.0257231708625
4854,käräjäoikeuden,14,2236,10.2296908006957,11.3689651226673,7.54889113873721,7.63511262767055
4855,ajavat,6,2235,9.02761319570129,9.86309845456607,10.3322217059616,11.0926154736817
4856,karhu,5,2234,10.9791949662723,12.0978313539215,11.6976660388816,12.1267943627677
4857,tiiviisti,9,2234,10.7558347772774,10.9666989870826,10.1135182501364,10.7751770229448
4858,samanlaisia,11,2234,11.5884277214345,11.6709955543128,10.0331005020945,10.7693460989194
4859,väärässä,8,2234,11.0956752048761,11.148790273405,11.1254302552388,11.1352008281456
4860,rakennuksia,11,2234,8.66386520404382,8.97205376854733,12.9594674799351,13.0030501822053
4861,hyvinvointi,11,2232,10.1657815578605,10.1516362476623,12.6133646152209,12.6131479992894
4862,kimppuun,8,2232,7.94677274397564,8.92141608786429,12.0211133031452,12.1709959912546
4863,velvollisuus,12,2231,11.3207674799235,11.3836085155597,11.2159136049422,11.0993168556505
4864,valot,5,2230,10.075348690711,10.4902251581865,10.4624731519539,10.5546464891354
4865,miehistä,8,2230,9.6278134885178,10.1902952663183,12.3366962620823,12.3045120329579
4866,muistoja,8,2230,8.97290079435139,9.12282173214502,11.6494546639821,12.2953358353853
4867,aloitteen,9,2229,10.873771090527,10.992188711919,9.76026921196202,10.3104032989451
4868,kohdalle,8,2229,7.71529220928978,8.5191318904105,12.2602299286342,12.3904034839553
4869,ministeriön,11,2229,12.3837880619184,12.4601838459403,8.66548024024816,9.02105291574764
4870,konsertti,9,2229,9.64573054423149,10.87312693085,11.5269459023427,11.5992864633545
4871,seuraavalla,11,2229,11.8366633550862,12.1300659754162,5.41563871283612,5.69467508069574
4872,mainitaan,9,2229,8.41742006820634,9.84476629898814,10.8952526721197,11.7048690379202
4873,päättynyt,9,2229,11.46093259825,11.5590646445726,11.5156025385133,12.1104944568608
4874,kulutus,7,2229,8.55792210873399,8.99977738179427,11.3232195394513,11.2526977773058
4875,konsertin,9,2229,10.8721159889512,11.3640310454297,9.23490070015088,9.48793020142862
4876,kärsinyt,8,2228,10.2523604919474,10.8676609271776,9.20222266360369,10.2224470409538
4877,valtatie,8,2228,10.7425150814898,11.3137693954803,8.10380698543197,7.99712440303013
4878,lintujen,8,2228,11.0135733534838,11.6185453250051,6.46760918270895,8.00415760506777
4879,kansanedustajat,15,2228,10.1886176083173,10.6526133327322,10.4539567519486,10.5334817637806
4880,hakemuksen,10,2228,9.82228175905361,10.0553975371894,9.78022446060448,10.1308786526173
4881,turvapaikanhakijoiden,21,2226,10.635623161272,10.7245631259821,7.72331209772496,8.26136473554703
4882,lipun,5,2225,10.2421554470665,10.5887938629097,8.8011487021473,9.0989426401732
4883,erityinen,9,2225,11.8118217968855,11.945263085275,8.30560358122768,9.27125850827989
4884,turvaa,6,2224,10.8325520316939,11.2710674774474,11.1730377555047,11.661397927859
4885,täydentää,9,2223,10.2518737477987,11.4840090766895,9.53152798204032,11.0054925146159
4886,pahin,5,2223,11.7011487893604,12.1432011056354,7.56085187534717,8.16938173119974
4887,puhdasta,8,2222,12.1167113856662,12.3660072360418,8.52636271076993,9.08637920601545
4888,tapahtumissa,12,2222,8.97395650418099,9.2339224558029,12.916967477237,12.9545906538663
4889,eläimen,7,2221,10.9157939763609,11.1662478868584,9.22719611526835,9.65228571845757
4890,keittiön,8,2221,10.9335925477908,11.4061363587988,8.08926229353078,8.67675760303871
4891,lämmintä,8,2221,11.6275519257594,11.7710193714825,9.80416358113037,10.0788372560968
4892,vapaus,6,2221,11.2589661012601,11.2447377813291,12.1494082788832,12.0362467312259
4893,perheensä,9,2220,10.0884811745371,10.1321159917016,10.4513974756652,10.4937772421884
4894,vanhemman,9,2220,11.1202030298154,11.3797800859104,8.88840746158429,9.20311745716017
4895,kampanjan,9,2220,10.8865475362171,11.4717405714284,9.81136844526627,10.0910463114633
4896,takaavat,8,2220,7.67644093874701,9.39450692248595,8.95077522160713,9.37393934562224
4897,kortin,6,2219,9.86924327197394,10.1100035670705,10.2689757908463,10.8027744573095
4898,mahdoton,8,2219,11.410434582365,11.4222159513508,10.1216546681843,10.1541377226352
4899,seisoo,6,2219,9.85114134770184,10.6358938520596,9.69694308674126,10.3416888999969
4900,show,4,2219,6.63586325062177,10.2782976497002,10.6926460291928,12.2695753043483
4901,hintoja,7,2219,7.96321134394714,8.65279682492644,12.3546936585318,12.4934301801709
4902,kahvila,7,2219,11.2180287314652,11.8162978562513,10.664033826541,12.0726165483458
4903,tietokoneen,11,2218,10.7988902600063,11.0076984494751,8.4025239128838,8.9549371054732
4904,netin,5,2218,11.6118938164361,11.8263182750398,7.06354113684002,7.55145979823491
4905,tälläkin,8,2218,12.2882116900204,12.4506206818275,6.75497512331335,6.775183443624
4906,aikuinen,8,2216,11.605768772638,11.7470838334737,11.5767580423833,11.6505020198931
4907,suunnitelmien,13,2216,9.32677336070245,9.63158254924216,8.52691932555136,8.21250325431778
4908,varautua,8,2216,9.88695662757673,9.87323529597984,10.2018618295556,10.8031655469209
4909,jollakin,8,2216,11.7447813651752,12.0096190308955,7.4847624637166,7.89639860088993
4910,venäläisten,11,2215,11.6411102399066,11.96092088802,7.68382937537962,8.59001799495014
4911,päätyy,6,2214,9.71649671374573,10.625999213121,9.41990877233397,10.2612249482346
4912,äänet,5,2213,9.89104712535805,10.2594676837731,11.028044893199,11.0779166561782
4913,muukin,6,2212,8.01908017662126,7.87438082256657,10.717267844127,11.2244323255752
4914,yleisin,7,2212,10.9601610586388,11.4145199330125,7.15823070856489,8.34943743277462
4915,erinomaisen,11,2211,11.1714604616061,11.5883944686269,7.93150435169531,8.81836513005891
4916,kisaan,6,2211,10.1218937369025,10.5629349463395,11.5240079705766,11.6726085321144
4917,suosion,7,2211,6.69872514492972,6.91194209151435,9.56893203493837,9.71308301174874
4918,kansainvälisiä,14,2211,11.4184781153731,11.4568740353157,6.45939474865287,7.39525695346846
4919,g,1,2210,8.97683966819386,9.2347484176347,10.7909368208586,11.4777629115272
4920,yllätti,7,2210,8.90112476242006,10.0843639857085,9.9178747979107,11.1070529785989
4921,tapahtumasta,12,2209,9.75917348940451,9.89317298952655,12.7858544257304,12.7608219843277
4922,huomattava,10,2208,12.0420613179969,12.2011463947529,10.0664135260855,10.1598591124497
4923,sään,4,2208,9.7805673763449,10.0077973710005,8.01861249670697,8.52809728878741
4924,yksikön,7,2207,9.64717037993039,10.7292306211484,8.91498528372688,9.44798178887628
4925,tehtyjä,7,2207,8.60032493112847,9.76798162558699,7.60650428352092,8.62308365763702
4926,leikata,7,2207,11.0655970495119,11.141316735329,10.9746749129639,11.638553481094
4927,syksy,5,2207,11.3176905376372,11.6237191251409,12.2042155958372,12.2371126971191
4928,aikuisen,8,2206,11.4822852310895,11.646190188251,9.49152081201435,9.6747852841542
